RecordId,Timestamp,socket0-package-power
533,11:21:27:741,   63.52
534,11:21:27:841,   62.62
535,11:21:27:941,   63.24
536,11:21:28:041,   63.22
537,11:21:28:141,   63.34
538,11:21:28:241,   63.26
539,11:21:28:341,   62.62
540,11:21:28:441,   63.28
541,11:21:28:541,   63.41
542,11:21:28:641,   63.39
543,11:21:28:741,   63.22
544,11:21:28:841,   63.22
545,11:21:28:941,   62.64
546,11:21:29:041,   63.26
547,11:21:29:141,   63.39
548,11:21:29:241,   63.21
549,11:21:29:341,   63.23
550,11:21:29:441,   62.60
551,11:21:29:541,   63.24
552,11:21:29:641,   63.36
553,11:21:29:741,   63.24
554,11:21:29:841,   63.20
555,11:21:29:941,   62.62
556,11:21:30:041,   63.19
557,11:21:30:141,   63.40
558,11:21:30:241,   63.23
559,11:21:30:341,   63.24
560,11:21:30:441,   62.60
561,11:21:30:541,   63.19
562,11:21:30:641,   63.37
563,11:21:30:741,   63.24
564,11:21:30:841,   63.58
565,11:21:30:941,   63.26
566,11:21:31:041,   62.57
567,11:21:31:141,   63.30
568,11:21:31:241,   63.25
569,11:21:31:341,   63.24
570,11:21:31:441,   63.23
571,11:21:31:541,   62.63
572,11:21:31:641,   63.34
573,11:21:31:741,   63.24
574,11:21:31:841,   63.22
575,11:21:31:941,   63.23
576,11:21:32:041,   62.60
577,11:21:32:141,   63.40
578,11:21:32:241,   63.22
579,11:21:32:341,   63.21
580,11:21:32:441,   63.36
581,11:21:32:541,   62.77
582,11:21:32:641,   63.36
583,11:21:32:741,   63.24
584,11:21:32:841,   63.21
585,11:21:32:941,   63.30
586,11:21:33:041,   62.63
587,11:21:33:141,   63.42
588,11:21:33:241,   63.28
589,11:21:33:341,   63.24
590,11:21:33:441,   63.23
591,11:21:33:541,   63.38
592,11:21:33:641,   62.82
593,11:21:33:741,   63.25
594,11:21:33:841,   63.24
595,11:21:33:941,   63.51
596,11:21:34:041,   63.24
597,11:21:34:141,   62.68
598,11:21:34:241,   63.26
599,11:21:34:341,   63.22
600,11:21:34:441,   63.29
601,11:21:34:541,   48.62
602,11:21:34:641,   36.26
603,11:21:34:741,   36.20
604,11:21:34:841,   35.74
605,11:21:34:941,   35.90
606,11:21:35:041,   35.75
607,11:21:35:141,   35.69
608,11:21:35:241,   35.73
609,11:21:35:341,   35.77
610,11:21:35:441,   35.74
611,11:21:35:541,   35.81
612,11:21:35:641,   35.64
613,11:21:35:741,   35.79
614,11:21:35:841,   35.72
615,11:21:35:941,   35.77
616,11:21:36:041,   35.72
617,11:21:36:141,   35.97
618,11:21:36:241,   35.36
619,11:21:36:341,   35.74
620,11:21:36:441,   35.72
621,11:21:36:541,   35.78
622,11:21:36:641,   35.86
623,11:21:36:741,   35.44
624,11:21:36:841,   35.71
625,11:21:36:941,   35.87
626,11:21:37:041,   35.74
627,11:21:37:141,   36.67
628,11:21:37:241,   35.38
629,11:21:37:341,   35.76
630,11:21:37:441,   36.22
631,11:21:37:541,   37.50
632,11:21:37:641,   36.01
633,11:21:37:741,   35.41
634,11:21:37:841,   35.70
635,11:21:37:941,   35.75
636,11:21:38:041,   35.74
637,11:21:38:141,   35.93
638,11:21:38:241,   35.71
639,11:21:38:341,   35.39
640,11:21:38:441,   35.70
641,11:21:38:541,   36.36
642,11:21:38:641,   35.89
643,11:21:38:741,   35.75
644,11:21:38:841,   35.33
645,11:21:38:941,   35.79
646,11:21:39:041,   35.69
647,11:21:39:141,   35.97
648,11:21:39:241,   35.72
649,11:21:39:341,   35.40
650,11:21:39:441,   35.66
651,11:21:39:541,   45.65
652,11:21:39:641,   63.68
653,11:21:39:741,   63.04
654,11:21:39:841,   62.41
655,11:21:39:941,   63.06
656,11:21:40:041,   63.62
657,11:21:40:141,   64.01
658,11:21:40:241,   63.66
659,11:21:40:341,   62.97
660,11:21:40:441,   63.56
661,11:21:40:541,   63.58
662,11:21:40:641,   63.75
663,11:21:40:741,   63.60
664,11:21:40:841,   63.57
665,11:21:40:941,   62.54
666,11:21:41:041,   63.16
667,11:21:41:141,   63.32
668,11:21:41:241,   63.39
669,11:21:41:341,   63.23
670,11:21:41:441,   62.56
671,11:21:41:541,   63.19
672,11:21:41:641,   63.38
673,11:21:41:741,   63.21
674,11:21:41:841,   63.23
675,11:21:41:941,   62.60
676,11:21:42:041,   63.19
677,11:21:42:141,   63.36
678,11:21:42:241,   63.30
679,11:21:42:341,   63.28
680,11:21:42:441,   62.84
681,11:21:42:541,   63.48
682,11:21:42:641,   63.40
683,11:21:42:741,   63.25
684,11:21:42:841,   63.27
685,11:21:42:941,   63.28
686,11:21:43:041,   62.62
687,11:21:43:141,   63.36
688,11:21:43:241,   63.23
689,11:21:43:341,   63.61
690,11:21:43:441,   63.40
691,11:21:43:541,   62.80
692,11:21:43:641,   63.44
693,11:21:43:741,   63.28
694,11:21:43:841,   63.21
695,11:21:43:941,   63.21
696,11:21:44:041,   62.66
697,11:21:44:141,   63.33
698,11:21:44:241,   63.27
699,11:21:44:341,   63.25
700,11:21:44:441,   63.24
701,11:21:44:541,   62.60
702,11:21:44:641,   63.42
703,11:21:44:741,   63.27
704,11:21:44:841,   63.25
705,11:21:44:941,   63.24
706,11:21:45:041,   62.71
707,11:21:45:141,   63.53
708,11:21:45:241,   63.19
709,11:21:45:341,   63.27
710,11:21:45:441,   63.33
711,11:21:45:541,   63.25
712,11:21:45:641,   62.82
713,11:21:45:741,   63.30
714,11:21:45:841,   63.31
715,11:21:45:941,   63.25
716,11:21:46:041,   63.28
717,11:21:46:141,   62.79
718,11:21:46:241,   63.25
719,11:21:46:341,   63.26
720,11:21:46:441,   63.72
721,11:21:46:541,   63.40
722,11:21:46:641,   62.88
723,11:21:46:741,   63.38
724,11:21:46:841,   63.36
725,11:21:46:941,   63.40
726,11:21:47:041,   63.37
727,11:21:47:141,   62.87
728,11:21:47:241,   63.33
729,11:21:47:341,   63.37
730,11:21:47:441,   63.44
731,11:21:47:541,   63.65
732,11:21:47:641,   62.92
733,11:21:47:741,   63.38
734,11:21:47:841,   63.33
735,11:21:47:941,   63.40
736,11:21:48:041,   63.32
737,11:21:48:141,   63.49
738,11:21:48:241,   62.77
739,11:21:48:341,   63.45
740,11:21:48:441,   63.40
741,11:21:48:541,   63.51
742,11:21:48:641,   63.56
743,11:21:48:741,   62.75
744,11:21:48:841,   63.38
745,11:21:48:941,   63.37
746,11:21:49:041,   63.35
747,11:21:49:141,   63.51
748,11:21:49:241,   62.72
749,11:21:49:341,   63.37
750,11:21:49:441,   63.39
751,11:21:49:541,   63.68
752,11:21:49:641,   63.50
753,11:21:49:741,   62.78
754,11:21:49:841,   63.27
755,11:21:49:941,   63.35
756,11:21:50:041,   63.29
757,11:21:50:141,   63.44
758,11:21:50:241,   63.31
759,11:21:50:341,   62.71
760,11:21:50:441,   63.28
761,11:21:50:541,   63.31
762,11:21:50:641,   63.46
763,11:21:50:741,   63.33
764,11:21:50:841,   62.68
765,11:21:50:941,   63.36
766,11:21:51:041,   63.38
767,11:21:51:141,   63.54
768,11:21:51:241,   63.37
769,11:21:51:341,   62.75
770,11:21:51:441,   63.37
771,11:21:51:541,   63.37
772,11:21:51:641,   63.48
773,11:21:51:741,   63.38
774,11:21:51:841,   62.75
775,11:21:51:941,   63.37
776,11:21:52:041,   63.43
777,11:21:52:141,   63.38
778,11:21:52:241,   63.31
779,11:21:52:341,   62.65
780,11:21:52:441,   63.45
781,11:21:52:541,   63.45
782,11:21:52:641,   63.64
783,11:21:52:741,   63.36
784,11:21:52:841,   63.26
785,11:21:52:941,   62.64
786,11:21:53:041,   63.34
787,11:21:53:141,   63.47
788,11:21:53:241,   63.28
789,11:21:53:341,   63.33
790,11:21:53:441,   62.65
791,11:21:53:541,   63.38
792,11:21:53:641,   63.43
793,11:21:53:741,   63.30
794,11:21:53:841,   63.33
795,11:21:53:941,   62.69
796,11:21:54:041,   63.38
797,11:21:54:141,   63.54
798,11:21:54:241,   63.38
799,11:21:54:341,   63.39
800,11:21:54:441,   62.76
801,11:21:54:541,   55.39
802,11:21:54:641,   37.31
803,11:21:54:741,   36.65
804,11:21:54:841,   35.92
805,11:21:54:941,   35.86
806,11:21:55:041,   35.41
807,11:21:55:141,   35.97
808,11:21:55:241,   35.76
809,11:21:55:341,   35.82
810,11:21:55:441,   35.82
811,11:21:55:541,   35.48
812,11:21:55:641,   35.94
813,11:21:55:741,   36.29
814,11:21:55:841,   35.80
815,11:21:55:941,   35.84
816,11:21:56:041,   35.43
817,11:21:56:141,   36.04
818,11:21:56:241,   35.72
819,11:21:56:341,   35.80
820,11:21:56:441,   35.74
821,11:21:56:541,   35.45
822,11:21:56:641,   35.92
